date,price,net_worth
2019-01-03,300.3599853515625,9687.6796875
2019-01-04,317.69000244140625,10242.240234375
2019-01-07,334.9599914550781,10794.8798828125
2019-01-08,335.3500061035156,10807.3603515625
2019-01-09,338.5299987792969,10909.1201171875
2019-01-10,344.9700012207031,11115.2001953125
2019-01-11,347.2600098,11188.48046985
2019-01-14,334.3999938964844,10776.9599609375
2019-01-15,344.42999267578125,11097.919921875
2019-01-16,346.04998779296875,11149.759765625
2019-01-17,347.3099975585937,11190.080078124998
2019-01-18,302.2600098,9748.48046985
2019-01-22,298.9200134277344,9641.6005859375
2019-01-23,287.5899963378906,9279.0400390625
2019-01-24,291.5100098,9404.48046985
2019-01-25,297.0400085449219,9581.4404296875
2019-01-28,296.3800048828125,9560.3203125
2019-01-29,297.4599914550781,9594.8798828125
2019-01-30,308.7699890136719,9956.7998046875
2019-01-31,307.0199890136719,9900.7998046875
2019-02-01,312.2099914550781,10066.8798828125
2019-02-04,312.8900146484375,10088.640625
2019-02-05,321.3500061035156,10359.3603515625
2019-02-06,317.2200012207031,10227.2001953125
2019-02-07,307.5100098,9916.48046985
2019-02-08,305.79998779296875,9861.759765625
2019-02-11,312.8399963378906,10087.0400390625
2019-02-12,311.8099975585937,10054.080078124998
2019-02-13,308.1700134277344,9937.6005859375
2019-02-14,303.7699890136719,9796.7998046875
2019-02-15,307.8800048828125,9928.3203125
2019-02-19,305.6400146484375,9856.640625
2019-02-20,302.5599975585937,9758.080078124998
2019-02-21,291.2300109863281,9395.5205078125
2019-02-22,294.7099914550781,9506.8798828125
2019-02-25,298.7699890136719,9636.7998046875
2019-02-26,297.8599853515625,9607.6796875
2019-02-27,314.7399902,10147.83984265
2019-02-28,319.8800048828125,10312.3203125
2019-03-01,294.7900085449219,9509.4404296875
2019-03-04,285.3599853515625,9207.6796875
2019-03-05,276.5400085449219,8925.4404296875
2019-03-06,276.2399902,8915.83984265
2019-03-07,276.5899963378906,8927.0400390625
2019-03-08,284.1400146484375,9168.640625
2019-03-11,290.9200134277344,9385.6005859375
2019-03-12,283.3599853515625,9143.6796875
2019-03-13,288.9599914550781,9322.8798828125
2019-03-14,289.9599914550781,9354.8798828125
2019-03-15,275.42999267578125,8889.919921875
2019-03-18,269.4899902,8699.83984265
2019-03-19,267.4700012207031,8635.2001953125
2019-03-20,273.6000061035156,8831.3603515625
2019-03-21,274.0199890136719,8844.7998046875
2019-03-22,264.5299987792969,8541.1201171875
2019-03-25,260.4200134277344,8409.6005859375
2019-03-26,267.7699890136719,8644.7998046875
2019-03-27,274.8299865722656,8870.7197265625
2019-03-28,278.6199951171875,8992.0
2019-03-29,279.8599853515625,9031.6796875
2019-04-01,289.17999267578125,9329.919921875
2019-04-02,285.8800048828125,9224.3203125
2019-04-03,291.8099975585937,9414.080078124998
2019-04-04,267.7799987792969,8645.1201171875
2019-04-05,274.9599914550781,8874.8798828125
2019-04-08,273.20001220703125,8818.560546875
2019-04-09,272.3099975585937,8790.080078124998
2019-04-10,276.0599975585937,8910.080078124998
2019-04-11,268.4200134277344,8665.6005859375
2019-04-12,267.70001220703125,8642.560546875
2019-04-15,266.3800048828125,8600.3203125
2019-04-16,273.3599853515625,8823.6796875
2019-04-17,271.2300109863281,8755.5205078125
2019-04-18,273.2600098,8820.48046985
2019-04-22,262.75,8484.16015625
2019-04-23,263.8999938964844,8520.9599609375
2019-04-24,258.6600036621094,8353.2802734375
2019-04-25,247.6300048828125,8000.3203125
2019-04-26,235.13999938964844,7600.64013671875
2019-04-29,241.47000122070312,7803.2001953125
2019-04-30,238.69000244140625,7714.240234375
2019-05-01,234.00999450683597,7564.479980468751
2019-05-02,244.1000061035156,7887.360351562499
2019-05-03,255.02999877929688,8237.1201171875
2019-05-06,255.33999633789065,8247.0400390625
2019-05-07,247.05999755859372,7982.080078124999
2019-05-08,244.83999633789065,7911.040039062501
2019-05-09,241.97999572753903,7819.520019531249
2019-05-10,239.5200042724609,7740.800292968749
2019-05-13,227.00999450683597,7340.479980468751
2019-05-14,232.30999755859372,7510.080078124999
2019-05-15,231.9499969482422,7498.56005859375
2019-05-16,228.3300018310547,7382.72021484375
2019-05-17,211.02999877929688,6829.1201171875
2019-05-20,205.3600006103516,6647.680175781251
2019-05-21,205.0800018310547,6638.72021484375
2019-05-22,192.72999572753903,6243.520019531249
2019-05-23,195.4900054931641,6331.840332031251
2019-05-24,190.6300048828125,6176.3203125
2019-05-28,188.6999969482422,6114.56005859375
2019-05-29,189.8600006103516,6151.680175781251
2019-05-30,188.22000122070312,6099.2001953125
2019-05-31,185.16000366210935,6001.280273437499
2019-06-03,178.97000122070312,5803.2001953125
2019-06-04,193.6000061035156,6271.360351562499
2019-06-05,196.58999633789065,6367.040039062501
2019-06-06,205.9499969482422,6666.56005859375
2019-06-07,204.5,6620.16015625
2019-06-10,212.8800048828125,6888.3203125
2019-06-11,217.1000061035156,7023.360351562499
2019-06-12,209.25999450683597,6772.479980468751
2019-06-13,213.91000366210935,6921.280273437499
2019-06-14,214.9199981689453,6953.60009765625
2019-06-17,225.02999877929688,7277.1201171875
2019-06-18,224.7400054931641,7267.840332031251
2019-06-19,226.42999267578125,7321.919921875
2019-06-20,219.6199951171875,7104.0
2019-06-21,221.8600006103516,7175.680175781251
2019-06-24,223.63999938964844,7232.64013671875
2019-06-25,219.75999450683597,7108.479980468751
2019-06-26,219.2700042724609,7092.800292968749
2019-06-27,222.83999633789065,7207.040039062501
2019-06-28,223.4600067138672,7226.88037109375
2019-07-01,227.1699981689453,7345.60009765625
2019-07-02,224.5500030517578,7261.76025390625
2019-07-03,234.8999938964844,7592.959960937501
2019-07-05,233.1000061035156,7535.360351562499
2019-07-08,230.33999633789065,7447.040039062501
2019-07-09,230.05999755859372,7438.080078124999
2019-07-10,238.9199981689453,7721.60009765625
2019-07-11,238.6000061035156,7711.360351562499
2019-07-12,245.0800018310547,7918.72021484375
2019-07-15,253.5,8188.16015625
2019-07-16,252.3800048828125,8152.3203125
2019-07-17,254.8600006103516,8231.68017578125
2019-07-18,253.5399932861328,8189.43994140625
2019-07-19,258.17999267578125,8337.919921875
2019-07-22,255.67999267578125,8257.919921875
2019-07-23,260.1700134277344,8401.6005859375
2019-07-24,264.8800048828125,8552.3203125
2019-07-25,228.82000732421875,7398.400390625
2019-07-26,228.0399932861328,7373.43994140625
2019-07-29,235.7700042724609,7620.800292968749
2019-07-30,242.25999450683597,7828.479980468751
2019-07-31,241.6100006103516,7807.680175781251
2019-08-01,233.8500061035156,7559.360351562499
2019-08-02,234.33999633789065,7575.040039062501
2019-08-05,228.32000732421875,7382.400390625
2019-08-06,230.75,7460.16015625
2019-08-07,233.4199981689453,7545.60009765625
2019-08-08,238.3000030517578,7701.76025390625
2019-08-09,235.00999450683597,7596.479980468751
2019-08-12,229.00999450683597,7404.479980468751
2019-08-13,235.0,7596.16015625
2019-08-14,219.6199951171875,7104.0
2019-08-15,215.63999938964844,6976.64013671875
2019-08-16,219.94000244140625,7114.240234375
2019-08-19,226.8300018310547,7334.72021484375
2019-08-20,225.8600006103516,7303.680175781251
2019-08-21,220.8300018310547,7142.72021484375
2019-08-22,222.1499938964844,7184.959960937501
2019-08-23,211.3999938964844,6840.959960937501
2019-08-26,215.0,6956.16015625
2019-08-27,214.0800018310547,6926.72021484375
2019-08-28,215.58999633789065,6975.040039062501
2019-08-29,221.7100067138672,7170.88037109375
2019-08-30,225.6100006103516,7295.680175781251
2019-09-03,225.00999450683597,7276.479980468751
