step,date,type,price,traded_value,allocation
1,2019-01-03,buy,33.915252685546875,19963.60694885254,[2.0]
3,2019-01-07,sell,35.28434753417969,19944.77229309082,[2.0]
5,2019-01-09,sell,36.56759643554688,19920.169952392578,[2.0]
7,2019-01-11,sell,36.324317932128906,19956.35229492187,[2.0]
9,2019-01-15,sell,36.51036453,19999.957374572754,[2.0]
11,2019-01-17,sell,37.17583465576172,19993.407196044922,[2.0]
13,2019-01-22,sell,36.56521987915039,20011.57434463501,[2.0]
15,2019-01-24,sell,36.4221077,20008.637657165524,[2.0]
17,2019-01-28,sell,37.28076553344727,20056.263961791992,[2.0]
19,2019-01-30,sell,39.41554260253906,20033.643470764164,[2.0]
21,2019-02-01,sell,39.71846771240234,20008.485076904297,[2.0]
23,2019-02-05,sell,41.54552459716797,20055.708488464355,[2.0]
25,2019-02-07,sell,40.77272415161133,20073.39959335327,[2.0]
27,2019-02-11,sell,40.58587646484375,20124.57579803467,[2.0]
29,2019-02-13,sell,40.76554107666016,20140.319091796875,[2.0]
31,2019-02-15,sell,40.82303237915039,20129.716873168945,[2.0]
33,2019-02-20,sell,41.208683013916016,20104.09037399292,[2.0]
35,2019-02-22,sell,41.43385696411133,20119.3779318,[2.0]
37,2019-02-26,sell,41.75963973999024,20074.863735198975,[2.0]
39,2019-02-28,sell,41.47697448730469,20106.714477539062,[2.0]
41,2019-03-04,sell,42.123756408691406,20118.21533203125,[2.0]
43,2019-03-06,sell,41.805152893066406,20140.557277679443,[2.0]
45,2019-03-08,sell,41.41949462890625,20082.142776489258,[2.0]
47,2019-03-12,sell,43.33584213256836,20098.692428588867,[2.0]
49,2019-03-14,sell,44.01136016845703,20109.68920884,[2.0]
51,2019-03-18,sell,45.03899002075195,20107.3201789856,[2.0]
53,2019-03-20,sell,45.07253646850586,20062.25189971924,[2.0]
55,2019-03-22,sell,45.76481246948242,20095.005378723145,[2.0]
57,2019-03-26,sell,44.74435424804688,20164.311210632324,[2.0]
59,2019-03-28,sell,45.20667266845703,20180.61322402954,[2.0]
61,2019-04-01,sell,45.81031799316406,20157.079639434814,[2.0]
63,2019-04-03,sell,46.79485702514648,20170.690711975098,[2.0]
65,2019-04-05,sell,47.19010162353516,20250.558654785156,[2.0]
67,2019-04-09,sell,47.78895568847656,20227.59342956543,[2.0]
69,2019-04-11,sell,47.657203674316406,20184.042205810547,[2.0]
71,2019-04-15,sell,47.72427368164063,20150.890342712406,[2.0]
73,2019-04-17,sell,48.65849304199219,20141.665405273438,[2.0]
75,2019-04-22,sell,48.99385452270508,20119.35009624,[2.0]
77,2019-04-24,sell,49.62385940551758,20079.005279541016,[2.0]
79,2019-04-26,sell,48.93876266479492,20111.97088623047,[2.0]
81,2019-04-30,sell,48.06921005249024,20095.341148376465,[2.0]
83,2019-05-02,sell,50.100547790527344,20121.061752319336,[2.0]
85,2019-05-06,sell,49.94005584716797,20137.177730560303,[2.0]
87,2019-05-08,sell,48.60340118408203,20117.84250640869,[2.0]
89,2019-05-10,sell,47.41510391235352,20146.024250030518,[2.0]
91,2019-05-14,sell,45.36634063720703,20141.37606048584,[2.0]
93,2019-05-16,sell,45.70779800415039,20154.392801010003,[2.0]
95,2019-05-20,sell,44.02694320678711,20133.50876235962,[2.0]
97,2019-05-22,sell,43.95239258,20102.19873046875,[2.0]
99,2019-05-24,sell,43.03622055053711,20088.9990246,[2.0]
101,2019-05-29,sell,42.65387725830078,20100.533405303955,[2.0]
103,2019-05-31,sell,42.098411560058594,20108.426885470002,[2.0]
105,2019-06-04,sell,43.19733047485352,20127.950454711914,[2.0]
107,2019-06-06,sell,44.53914260864258,20103.76345062256,[2.0]
109,2019-06-10,sell,46.308963775634766,20073.1102142334,[2.0]
111,2019-06-12,sell,46.69612503051758,20049.7470552,[2.0]
113,2019-06-14,sell,46.34743118286133,20028.50709915161,[2.0]
115,2019-06-18,sell,47.72050476074219,20094.93272781372,[2.0]
