date,price,net_worth
2019-01-03,81.23744965,9858.28528643418
2019-01-04,84.2322998,10220.66215458418
2019-01-07,84.29085540771484,10227.747383117676
2019-01-08,84.13191986083984,10208.5161819458
2019-01-09,83.98969268798828,10191.306694030762
2019-01-10,83.98133087158203,10190.294914245605
2019-01-11,83.57977294921875,10141.706405639648
2019-01-14,84.44146728515625,10245.971420288086
2019-01-15,85.06049346923828,10320.873588562012
2019-01-16,85.74646759033203,10403.876457214355
2019-01-17,86.09780121,10446.38782519418
2019-01-18,87.49484252929688,10615.429824829102
2019-01-22,86.11455535888672,10448.415077209473
2019-01-23,85.89702606201172,10422.094032287598
2019-01-24,85.94724274,10428.17025032418
2019-01-25,86.49098969,10493.96363127418
2019-01-28,86.90090179,10543.56299537418
2019-01-29,87.14349365234375,10572.916610717773
2019-01-30,87.34426879882812,10597.210403442383
2019-01-31,86.58301544189453,10505.098747253418
2019-02-01,86.90090179,10543.56299537418
2019-02-04,87.21041107177734,10581.013618469238
2019-02-05,86.82559967041016,10534.451438903809
2019-02-06,86.78375244140625,10529.387924194336
2019-02-07,85.64607238769531,10391.728637695312
2019-02-08,84.79277801513672,10288.480018615723
2019-02-11,84.39123535,10239.89335613418
2019-02-12,85.83010864257812,10413.997024536133
2019-02-13,86.24001312,10463.59546630418
2019-02-14,85.67951965332031,10395.775756835938
2019-02-15,88.29792022705078,10712.602226257324
2019-02-19,87.98841857910156,10675.152526855469
2019-02-20,88.41506195,10726.77637473418
2019-02-21,88.23102569580078,10704.507987976074
2019-02-22,87.83784484863281,10656.93310546875
2019-02-25,88.75804138183594,10768.276885986328
2019-02-26,88.08043670654297,10686.286720275879
2019-02-27,87.97168731689453,10673.128044128418
2019-02-28,87.30243682861328,10592.148735046387
2019-03-01,87.36100006103516,10599.234886169434
2019-03-04,87.16023254394531,10574.942016601562
2019-03-05,87.09331512451172,10566.845008850098
2019-03-06,86.76705932617188,10527.368057250977
2019-03-07,86.13961029052734,10451.446723937988
2019-03-08,86.17308807373047,10455.497535705566
2019-03-11,87.29405212402344,10591.134185791016
2019-03-12,87.03473663330078,10559.757011413574
2019-03-13,87.32755279541016,10595.187767028809
2019-03-14,88.12224578857422,10691.34561920166
2019-03-15,89.13449096679688,10813.827285766602
2019-03-18,89.66989135742188,10878.610733032227
2019-03-19,89.34362793,10839.132858314179
2019-03-20,87.4362793,10608.343674084179
2019-03-21,86.05599212646484,10441.328926086426
2019-03-22,83.45429992675781,10126.524169921875
2019-03-25,82.75999450683594,10042.513214111328
2019-03-26,83.58815002441406,10142.720031738281
2019-03-27,83.30372619628906,10108.304748535156
2019-03-28,84.24903869628906,10222.687561035156
2019-03-29,84.68402099609375,10275.320419311523
2019-04-01,87.53666687011719,10620.49057006836
2019-04-02,87.95495605,10671.10356083418
2019-04-03,88.13060760498047,10692.357398986816
2019-04-04,88.98200225830078,10795.376152038574
2019-04-05,88.77127075195312,10769.877639770508
2019-04-08,89.05786895751953,10804.556022644043
2019-04-09,88.40037536621094,10724.999298095703
2019-04-10,88.79655456542969,10772.936981201172
2019-04-11,89.54678344726562,10863.71467590332
2019-04-12,93.74470520019533,11371.663208007814
2019-04-15,92.67414855957033,11242.12585449219
2019-04-16,93.65194702148438,11360.439468383789
2019-04-17,96.34942626953124,11686.83445739746
2019-04-18,95.64132690429688,11601.154434204102
2019-04-22,95.75933837890624,11615.433822631834
2019-04-23,95.87735748291016,11629.714134216309
2019-04-24,95.71720123291016,11610.335227966309
2019-04-25,95.76776123046876,11616.4529876709
2019-04-26,96.49271392822266,11704.172264099121
2019-04-29,97.88357543945312,11872.466506958008
2019-04-30,97.82456970214844,11865.32681274414
2019-05-01,97.07434844970705,11774.550041198732
2019-05-02,97.28508758544922,11800.049476623535
2019-05-03,97.88357543945312,11872.466506958008
2019-05-06,97.0153350830078,11767.409423828123
2019-05-07,95.43059539794922,11575.655921936035
2019-05-08,94.92482758,11514.45801596418
2019-05-09,94.84895324707033,11505.27722167969
