date,price,net_worth
2019-01-03,146.2298126220703,9854.347381591797
2019-01-04,151.0089874267578,10174.55209350586
2019-01-07,151.8457794189453,10230.617156982422
2019-01-08,151.2849884033203,10193.044158935547
2019-01-09,152.23394775390625,10256.624435424805
2019-01-10,151.82852172851562,10229.460891723633
2019-01-11,152.6307830810547,10283.21240234375
2019-01-14,154.17491149902344,10386.669006347656
2019-01-15,155.2015380859375,10455.452987670898
2019-01-16,170.0134735107422,11447.852661132812
2019-01-17,171.74734497070312,11564.022048950195
2019-01-18,174.7235565185547,11763.42822265625
2019-01-22,170.53099060058594,11482.526306152344
2019-01-23,169.85813903808594,11437.445251464844
2019-01-24,170.63453674316406,11489.463897705078
2019-01-25,173.17074584960938,11659.389907836914
2019-01-28,172.29080200195312,11600.433670043945
2019-01-29,172.96371459960938,11645.518814086914
2019-01-30,174.67176818847656,11759.958404541016
2019-01-31,170.81568908691406,11501.601104736328
2019-02-01,169.54759216308594,11416.638610839844
2019-02-04,170.56553649902344,11484.840881347656
2019-02-05,170.81568908691406,11501.601104736328
2019-02-06,169.6166229248047,11421.263671875
2019-02-07,166.55413818359375,11216.077194213867
2019-02-08,165.3464355,11135.161114413087
2019-02-11,165.05311584472656,11115.508697509766
2019-02-12,167.77915954589844,11298.153625488281
2019-02-13,167.95164489746094,11309.710144042969
2019-02-14,166.08828735351562,11184.865188598633
2019-02-15,171.2384033203125,11529.922958374023
2019-02-19,171.38510131835938,11539.751724243164
2019-02-20,171.3246307373047,11535.7001953125
2019-02-21,169.39230346679688,11406.234268188477
2019-02-22,169.0817413330078,11385.42660522461
2019-02-25,171.3677978515625,11538.592391967773
2019-02-26,171.58346557617188,11553.042129516602
2019-02-27,171.58348083496094,11553.043151855469
2019-02-28,170.37086486816406,11471.797882080078
2019-03-01,171.67005920410156,11558.84390258789
2019-03-04,169.7471923828125,11430.011825561523
2019-03-05,169.76455688476562,11431.175247192383
2019-03-06,168.6731719970703,11358.052459716797
2019-03-07,166.96690368652344,11243.732482910156
2019-03-08,169.1063232421875,11387.073593139648
2019-03-11,169.7385711669922,11429.434204101562
2019-03-12,170.31024169921875,11467.736129760742
2019-03-13,170.84722900390625,11503.714279174805
2019-03-14,171.0377960205078,11516.48226928711
2019-03-15,171.72203063964844,11562.325988769531
2019-03-18,175.36854553222656,11806.642486572266
2019-03-19,174.19923400878906,11728.298614501953
2019-03-20,168.30941772460938,11333.680923461914
2019-03-21,168.53463745117188,11348.770645141602
2019-03-22,163.66690063476562,11022.632278442383
2019-03-25,163.27716064453125,10996.51969909668
2019-03-26,165.16529846191406,11123.024932861328
2019-03-27,164.5937042236328,11084.728118896484
2019-03-28,165.5897216796875,11151.461288452148
2019-03-29,166.29135131835938,11198.470474243164
2019-04-01,170.40554809570312,11474.121658325195
2019-04-02,171.0637664794922,11518.222290039062
2019-04-03,173.97402954101562,11713.209915161133
2019-04-04,175.1605987548828,11792.710052490234
2019-04-05,175.2905731201172,11801.418334960938
2019-04-08,175.4291534423828,11810.703216552734
2019-04-09,173.7661590576172,11699.282592773438
2019-04-10,175.8102569580078,11836.23715209961
2019-04-11,175.68032836914062,11827.531936645508
2019-04-12,180.01968383789062,12118.268753051758
2019-04-15,173.15121459960938,11658.081314086914
2019-04-16,174.82284545898438,11770.080581665039
2019-04-17,180.07167053222656,12121.751861572266
2019-04-18,178.34805297851562,12006.269485473633
2019-04-22,177.21343994140625,11930.250411987305
2019-04-23,176.81500244140625,11903.555099487305
2019-04-24,173.6968536376953,11694.639129638672
2019-04-25,174.4417266845703,11744.545623779297
2019-04-26,175.89688110351562,11842.040969848633
2019-04-29,179.22286987304688,12064.882217407227
2019-04-30,178.35671997070312,12006.850173950195
2019-05-01,177.32601928710938,11937.793228149414
2019-05-02,177.55120849609375,11952.880905151367
2019-05-03,179.74252319335938,12099.698989868164
2019-05-06,178.79840087890625,12036.442794799805
2019-05-07,175.50709533691406,11815.925323486328
2019-05-08,174.05197143554688,11718.432022094727
2019-05-09,174.64096069335938,11757.894302368164
2019-05-10,175.00477600097656,11782.269927978516
2019-05-13,168.87242126464844,11371.402160644531
2019-05-14,170.00706481933594,11447.423278808594
2019-05-15,170.11106872558594,11454.391540527344
2019-05-16,172.4842529296875,11613.394882202148
2019-05-17,171.00315856933594,11514.161560058594
2019-05-20,170.8385772705078,11503.13461303711
2019-05-21,172.45823669433594,11611.651794433594
2019-05-22,169.34881591796875,11403.320602416992
2019-05-23,166.2739715576172,11197.306030273438
2019-05-24,167.16610717773438,11257.079116821289
2019-05-28,164.08261108398438,11050.484878540039
2019-05-29,163.6128692626953,11019.012176513672
2019-05-30,163.0211639404297,10979.367919921875
2019-05-31,158.7753448486328,10694.898040771484
2019-06-03,159.38438415527344,10735.703674316406
2019-06-04,165.20497131347656,11125.683013916016
2019-06-05,163.95211791992188,11041.741836547852
2019-06-06,165.1441192626953,11121.605926513672
2019-06-07,165.1441192626953,11121.605926513672
2019-06-10,168.89402770996094,11372.849792480469
