date,price,net_worth
2010-07-14,107.08282470703124,10121.600331968855
2010-07-15,111.82635498046876,10303.640628828483
2010-07-16,112.5578155517578,10235.19458238077
2010-07-19,112.18055725097656,10201.840742784634
2010-07-20,114.66780090332033,10369.299662755602
2010-07-21,113.18928527832033,10273.258665839552
2010-07-22,112.85047912597656,10488.745652232079
2010-07-23,113.48963928222656,10586.898405543257
2010-07-26,114.12105560302734,10629.388598536803
2010-07-27,113.37411499023438,10646.317788752473
2010-07-28,113.3509521484375,10635.042467441997
2010-07-29,117.49388885498048,10569.197084592057
2010-07-30,116.13858795166016,10486.769536097103
2010-08-02,117.6170654296875,10722.79177475688
2010-08-03,117.963623,10824.463728449817
2010-08-04,120.4431610107422,10923.581629853876
2010-08-05,120.06584930419922,10879.02693176608
2010-08-06,119.49598693847656,10780.361520965458
2010-08-09,119.66535186767578,10774.46597599386
2010-08-10,118.5103530883789,10648.226154186103
2010-08-11,114.92959594726562,10289.092226170398
2010-08-12,115.06053161621094,10319.676967281875
2010-08-13,114.02864837646484,10243.05680432258
2010-08-16,113.7822266,10264.435121566732
2010-08-17,114.42134857177734,10298.83604703552
2010-08-18,114.89112091064452,10323.781897699238
2010-08-19,113.23551940917967,10178.215730444595
2010-08-20,114.15188598632812,10232.985215215405
2010-08-23,112.99678802490234,10286.811760564296
2010-08-24,110.84835052490234,10062.472019364677
2010-08-25,111.41046905517578,10129.543078009065
2010-08-26,109.2004395,9991.373963289605
2010-08-27,107.61416625976562,10064.114378523767
2010-08-30,105.49894714355467,9973.470050337046
2010-08-31,105.70735168457033,9993.71410232601
2010-09-01,107.87662506103516,10307.902111897563
2010-09-02,107.90750885009766,10430.51418889043
2010-09-03,113.70507049560548,10557.465755473115
2010-09-07,112.09935760498048,10366.150655952713
2010-09-08,113.89810180664062,10516.116859157977
2010-09-09,115.13324737548828,10592.634942312969
2010-09-10,116.09819793701172,10485.862475645263
2010-09-13,119.17069244384766,10721.40172153865
2010-09-14,117.75025939941406,10738.597802560875
2010-09-15,117.77345275878906,10885.894561247638
2010-09-16,117.51869201660156,10752.822386771328
2010-09-17,116.55369567871094,10541.707357504109
2010-09-20,117.2639617919922,10828.61233064885
2010-09-21,116.87789154052734,10724.024614845688
2010-09-22,114.30723571777344,10522.065996026775
2010-09-23,111.86776733398438,10374.695948505188
2010-09-24,113.69733428955078,10554.053513505844
2010-09-27,112.70922088623048,10557.280702992966
2010-09-28,111.94495391845705,10619.363853795237
2010-09-29,111.48953247070312,10599.008559701762
2010-09-30,111.61299896240234,10498.474778531374
2010-10-01,114.02157592773438,10596.963164079203
2010-10-04,113.1492691040039,10560.487734799597
2010-10-05,115.46521759033205,10824.253088902333
2010-10-06,116.44562530517578,10817.907386031216
2010-10-07,116.65404510498048,10787.95189078084
2010-10-08,117.85064697265624,10865.212155827332
2010-10-11,117.49552917480467,10878.601660363838
2010-10-12,119.81916809082033,11009.254325157859
2010-10-13,119.44860076904295,11006.893456868333
2010-10-14,117.0246124267578,10913.375537645235
2010-10-15,116.32978057861328,10814.967440835528
2010-10-18,118.6535186767578,10934.49483766545
2010-10-19,120.98480224609376,10791.16138739512
2010-10-20,123.20817565917967,10941.493694917704
2010-10-21,122.97659301757812,10923.312084605914
2010-10-22,121.78778076171876,10854.720485048803
2010-10-25,121.5020980834961,10842.585214458855
2010-10-26,122.19686889648438,10886.109189331142
2010-10-27,123.63272857666016,10919.721660189036
2010-10-28,126.01812744140624,10971.486679758813
2010-10-29,124.38928985595705,10891.515765149512
2010-11-01,124.72895050048828,10941.843412134973
2010-11-02,125.6939468383789,11048.704743431977
2010-11-03,125.5473175048828,11130.636008467804
2010-11-04,128.44989013671875,11798.850525476075
2010-11-05,132.06275939941406,11949.796157996938
2010-11-08,130.6191864013672,11908.550768627545
2010-11-09,128.5734405517578,11802.729398951082
2010-11-10,129.09066772460938,12019.646698875966
2010-11-11,129.46893310546875,11959.158935120597
2010-11-12,128.01760864257812,11758.438378507264
2010-11-15,129.09066772460938,11811.841508990006
2010-11-16,127.45404052734376,11623.938270331464
2010-11-17,127.29200744628906,11586.038982581566
2010-11-18,129.19100952148438,11808.775051660412
2010-11-19,128.66607666015625,11816.471829015858
2010-11-22,124.32756042480467,11763.692694038555
2010-11-23,121.80319213867188,11589.825453490059
2010-11-24,123.71764373779295,11777.70722569639
2010-11-26,122.14280700683594,11661.114075440104
2010-11-29,122.96110534667967,11701.079219092695
2010-11-30,120.80255889892578,11633.664954995616
2010-12-01,122.5897979736328,11803.801770470134
2010-12-02,125.7231445,11738.031519765826
2010-12-03,125.57616424560548,11673.28347284294
2010-12-06,125.8392105102539,11637.50546134017
2010-12-07,125.01911926269533,11663.886503508322
2010-12-08,128.53939819335938,11908.194171363828
2010-12-09,128.7792510986328,11930.102757956447
2010-12-10,130.3419952392578,12020.179367885024
2010-12-13,131.12350463867188,12011.506020233623
2010-12-14,129.4600830078125,11773.461614277434
2010-12-15,127.8198471069336,11728.523745105605
2010-12-16,127.23954010009766,11793.69320274028
2010-12-17,126.91465759277344,11772.808152054526
2010-12-20,128.4697266,11861.571668663113
2010-12-21,130.1564178466797,12015.858456481841
2010-12-22,131.21632385253906,12132.898530046927
2010-12-23,129.66896057128906,11924.430889263627
2010-12-27,131.3942871,11790.444719738683
2010-12-28,130.89910888671875,11865.769913837095
2010-12-29,129.6921844482422,12008.892999128157
2010-12-30,129.69992065429688,11845.77633440617
2010-12-31,130.1022491455078,11854.547741050901
2011-01-03,133.88552856445312,12135.02743595777
