date,price,net_worth
2010-07-14,107.08282470703124,10312.631736859841
2010-07-15,111.82635498046876,10369.198716463216
2010-07-16,112.5578155517578,10299.323179876008
2010-07-19,112.18055725097656,10277.774074601655
2010-07-20,114.66780090332033,10432.100040645204
2010-07-21,113.18928527832033,10379.501461166908
2010-07-22,112.85047912597656,10623.891599280463
2010-07-23,113.48963928222656,10718.41176766828
2010-07-26,114.12105560302734,10684.752199098899
2010-07-27,113.37411499023438,10651.499732701846
2010-07-28,113.3509521484375,10668.048690170814
2010-07-29,117.49388885498048,10543.557655643277
2010-07-30,116.13858795166016,10416.038346900968
2010-08-02,117.6170654296875,10739.14446293887
2010-08-03,117.963623,11008.116689270168
2010-08-04,120.4431610107422,10956.205434875143
2010-08-05,120.06584930419922,10844.287837816313
2010-08-06,119.49598693847656,10661.827070916013
2010-08-09,119.66535186767578,10690.021714343315
2010-08-10,118.5103530883789,10507.179815495034
2010-08-11,114.92959594726562,10107.29859769303
2010-08-12,115.06053161621094,10138.881211817848
2010-08-13,114.02864837646484,10087.98797510686
2010-08-16,113.7822266,10092.838599136323
2010-08-17,114.42134857177734,10186.850679115065
2010-08-18,114.89112091064452,10182.740866748445
2010-08-19,113.23551940917967,10055.043977909796
2010-08-20,114.15188598632812,10084.883860936616
2010-08-23,112.99678802490234,10150.241890062387
2010-08-24,110.84835052490234,9930.769589400317
2010-08-25,111.41046905517578,9999.753555629926
2010-08-26,109.2004395,9878.384814963943
2010-08-27,107.61416625976562,10004.50160812747
2010-08-30,105.49894714355467,9934.23526236698
2010-08-31,105.70735168457033,9956.030985444822
2010-09-01,107.87662506103516,10305.758221354998
2010-09-02,107.90750885009766,10457.377030201387
2010-09-03,113.70507049560548,10570.201578830485
2010-09-07,112.09935760498048,10402.460892088016
2010-09-08,113.89810180664062,10569.59399676069
2010-09-09,115.13324737548828,10530.820391959433
2010-09-10,116.09819793701172,10379.331398512502
2010-09-13,119.17069244384766,10598.317584008477
2010-09-14,117.75025939941406,10721.699547855169
2010-09-15,117.77345275878906,10983.152911174719
2010-09-16,117.51869201660156,10785.91079233831
2010-09-17,116.55369567871094,10557.25250612888
2010-09-20,117.2639617919922,10889.321395110375
2010-09-21,116.87789154052734,10795.213356424758
2010-09-22,114.30723571777344,10548.156826219314
2010-09-23,111.86776733398438,10428.632018692711
2010-09-24,113.69733428955078,10629.298482081129
2010-09-27,112.70922088623048,10691.918070189384
2010-09-28,111.94495391845705,10823.538990717183
2010-09-29,111.48953247070312,10804.895221027078
2010-09-30,111.61299896240234,10675.21624002626
2010-10-01,114.02157592773438,10759.847829396824
2010-10-04,113.1492691040039,10718.106379131483
2010-10-05,115.46521759033205,10989.169934404224
2010-10-06,116.44562530517578,10918.017972936972
2010-10-07,116.65404510498048,10901.722504235518
2010-10-08,117.85064697265624,10973.403313755709
2010-10-11,117.49552917480467,10944.957303694357
2010-10-12,119.81916809082033,11001.579657907316
2010-10-13,119.44860076904295,11101.339879681087
2010-10-14,117.0246124267578,11156.24306222721
2010-10-15,116.32978057861328,11153.128655614293
2010-10-18,118.6535186767578,11187.972518254363
2010-10-19,120.98480224609376,11052.56498652672
2010-10-20,123.20817565917967,11229.673048287697
2010-10-21,122.97659301757812,11223.291215802219
2010-10-22,121.78778076171876,11161.604158514965
2010-10-25,121.5020980834961,11157.77487156672
2010-10-26,122.19686889648438,11216.118762868531
2010-10-27,123.63272857666016,11214.764461506484
2010-10-28,126.01812744140624,11234.003227960013
2010-10-29,124.38928985595705,11208.124434225976
2010-11-01,124.72895050048828,11252.49630525991
2010-11-02,125.6939468383789,11340.010199479062
2010-11-03,125.5473175048828,11471.103922587414
2010-11-04,128.44989013671875,12332.527279577858
2010-11-05,132.06275939941406,12346.250516991318
2010-11-08,130.6191864013672,12427.679055059623
2010-11-09,128.5734405517578,12330.769611320946
2010-11-10,129.09066772460938,13373.275288596238
2010-11-11,129.46893310546875,13183.46570684076
2010-11-12,128.01760864257812,12955.39943921904
2010-11-15,129.09066772460938,13004.065984728048
2010-11-16,127.45404052734376,12794.097514628298
2010-11-17,127.29200744628906,12732.361654850374
2010-11-18,129.19100952148438,12982.406648500728
2010-11-19,128.66607666015625,13035.810172979503
2010-11-22,124.32756042480467,13102.283137176672
2010-11-23,121.80319213867188,12953.827546690578
2010-11-24,123.71764373779295,13165.138991770371
2010-11-26,122.14280700683594,13040.186080331738
2010-11-29,122.96110534667967,13066.389176217801
2010-11-30,120.80255889892578,13021.448746355443
2010-12-01,122.5897979736328,13155.857000673062
2010-12-02,125.7231445,12942.992301715669
2010-12-03,125.57616424560548,12775.993427667156
2010-12-06,125.8392105102539,12594.604999017165
2010-12-07,125.01911926269533,12814.997736476576
2010-12-08,128.53939819335938,13049.309374387978
2010-12-09,128.7792510986328,12986.018008314888
2010-12-10,130.3419952392578,12937.421208191596
2010-12-13,131.12350463867188,12801.830426242264
2010-12-14,129.4600830078125,12385.609055925632
2010-12-15,127.8198471069336,12566.908116513929
2010-12-16,127.23954010009766,12813.890863027806
2010-12-17,126.91465759277344,12885.117217680763
2010-12-20,128.4697266,12959.815667094415
2010-12-21,130.1564178466797,13133.507432988834
2010-12-22,131.21632385253906,13260.798966992561
2010-12-23,129.66896057128906,12984.306396777087
2010-12-27,131.3942871,12258.61595269562
2010-12-28,130.89910888671875,12467.321639148357
2010-12-29,129.6921844482422,12798.246054537656
2010-12-30,129.69992065429688,12482.248550187098
2010-12-31,130.1022491455078,12489.264560936133
2011-01-03,133.88552856445312,12675.723127635953
